followers_count,friends_count,favorites_count,statuses_count,default_profile,default_profile_image,verified,bot
15097,16590,64924,100245,0,0,0,0
47888,46329,115125,303681,1,0,0,1
7532,8293,110462,140182,1,0,0,1
30906,19297,174790,156079,0,0,0,0
353,258,5,13718,1,0,0,1
5053,4343,25478,132096,1,1,0,1
60185,55019,243833,250040,1,0,0,0
39414,40655,214917,247169,1,0,0,1
49468,47553,174311,228105,0,0,0,1
37100,40190,48710,98752,1,0,0,1
38853,38920,102621,117437,1,0,0,1
22891,23261,10000,53840,1,0,0,1
4731,5207,77503,203302,0,0,0,1
53700,56502,74270,135928,1,0,0,1
37100,40190,48710,98752,1,0,0,1
6810,6835,39044,84825,1,0,0,1
34756,25584,4171,106609,1,0,0,1
37846,38699,246335,397103,1,0,0,1
53700,56502,74270,135928,1,0,0,1
79432,72195,30317,233641,1,0,0,1
55547,52936,55677,165715,1,0,0,1
26533,23603,77,54890,1,0,0,1
55806,52330,57253,189754,1,0,0,1
19362,18523,106425,196508,0,0,0,1
62298,62846,31370,150913,1,0,0,1
25081,26162,60255,121646,1,0,0,1
58417,42470,80290,129105,0,0,0,1
58417,42470,80290,129105,0,0,0,1
37100,40190,48710,98752,1,0,0,1
22891,23261,10000,53840,1,0,0,1
37846,38699,246335,397103,1,0,0,1
53700,56502,74270,135928,1,0,0,1
55806,52330,57253,189754,1,0,0,1
64431,66342,210021,343735,1,0,0,0
62298,62846,31370,150913,1,0,0,1
7623,8289,139028,170411,0,0,0,0
26112,22686,22941,59644,1,0,0,1
25807,26755,50149,254312,1,0,0,1
38853,38920,102621,117437,1,0,0,1
15816,15311,29474,48115,1,0,0,1
5941,5988,128897,198005,1,0,0,0
4731,5207,77503,203302,0,0,0,0
134776,130748,24294,108786,1,0,0,1
4048,5001,78281,83512,1,0,0,0
49468,47553,174311,228105,0,0,0,0
69487,52734,52842,139727,1,0,0,1
32435,33332,16085,144296,1,0,0,1
6391,6120,120908,123602,1,0,0,0
15368,15367,41796,121255,1,0,0,1
15344,16878,31478,223580,1,0,0,0
8116,8709,129554,224377,1,0,0,1
15290,16852,28093,217914,1,0,0,1
32509,15997,23982,111122,1,0,0,0
5643,5157,118860,107242,1,0,0,1
55425,53055,107554,129741,0,0,0,1
7779,8580,104321,278733,1,0,0,0
52934,47591,76931,216051,1,0,0,1
8202,8236,32774,168156,1,0,0,0
41064,44275,440261,400556,1,0,0,1
74768,76904,224979,274086,0,0,0,1
2143,1349,178297,202730,1,1,0,0
17201,18917,364468,188380,0,0,0,1
4613,5048,64755,69621,1,0,0,1
18724,18688,740,217144,1,0,0,1
9640,10589,81526,91436,0,0,0,1
1404,1423,57016,74126,1,1,0,0
24771,25289,59783,106998,1,0,0,1
18401,13832,81237,85805,1,0,0,1
13077,12869,987,58336,0,0,0,1
25356,26203,56644,111146,1,0,0,1
24083,21527,106368,121265,1,0,0,1
9489,9912,21466,84979,1,0,0,0
98676,62016,86602,169158,0,0,0,0
25630,28297,251402,212133,1,0,0,1
104901,101056,9386,316711,1,0,0,1
56192,55724,75500,292478,0,0,0,1
9828,10180,117022,124190,1,0,0,0
54215,45520,71857,168485,1,0,0,1
36001,35475,19557,105241,1,0,0,1
2450,1951,388108,284759,1,1,0,0
58665,56842,107359,152690,0,0,0,1
5253,5776,201958,215810,1,0,0,1
25019,17979,195431,152474,1,0,0,1
9882,7576,220479,155274,1,0,0,0
32053,34788,231305,965847,1,0,0,1
2007,4022,63633,160607,1,1,0,1
71765,72222,119374,122592,0,0,0,1
11935,13218,100373,295167,1,0,0,0
11244,12473,11716,250904,1,0,0,1
124849,100000,81314,159396,0,0,0,1
3799,4959,117288,141347,0,1,0,1
6902,6525,228162,228026,0,0,0,1
63929,33500,150573,233841,1,0,0,1
86611,49197,70973,316558,0,0,0,1
10222,10068,170890,170048,1,0,0,1
4201,4924,87891,69003,1,0,0,1
17787,19518,108887,181337,1,0,0,1
32848,27066,87639,217736,1,0,0,1
9744,10717,282788,151009,1,0,0,1
1715,3436,163480,148754,1,1,0,1
2093,3473,174404,211189,1,1,0,1
5173,5732,234348,221093,1,0,0,1
4096,4862,42974,88632,1,1,0,0
67778,65718,37627,68923,1,0,0,1
7128,7838,286515,140321,1,0,0,0
18495,19211,223664,239313,1,0,0,1
7166,7370,42650,41109,0,0,0,1
7956,8665,94188,312373,1,0,0,1
30167,33053,180807,293546,1,0,0,1
33399,23701,104197,120573,0,0,0,0
22662,21579,102226,112925,0,0,0,1
39654,23031,36616,84066,1,0,0,1
27277,27403,16425,118387,1,0,0,1
5346,5890,17042,231100,1,0,0,0
41702,45439,30619,122578,1,0,0,1
62302,61344,162370,166571,1,0,0,1
17233,16145,173917,231119,1,0,0,1
27873,27940,56950,197263,0,0,0,1
59900,54927,58473,150563,1,0,0,1
112654,108949,273122,322198,1,0,0,1
10274,10338,127781,136881,1,0,0,0
13663,14124,68869,76169,1,0,0,1
19069,19868,13539,53857,1,0,0,1
16918,18616,20956,52171,1,0,0,1
9449,9628,50567,54903,1,0,0,1
56341,55722,26524,169186,1,0,0,1
31465,17408,106455,192003,1,0,0,1
24472,20839,45175,87158,1,0,0,1
37265,39498,7611,98224,1,0,0,1
21071,21174,28090,212692,1,0,0,1
10288,11298,87197,160115,1,0,0,1
17626,18924,15170,128626,0,0,0,0
6553,6672,92256,110324,0,0,0,0
6226,6423,104409,151891,1,0,0,0
10239,10357,8022,56373,1,0,0,1
17052,17076,78040,703652,0,0,0,1
8561,9305,122762,111972,1,0,0,0
2686,2645,241145,310613,1,1,0,1
11076,11569,59544,98873,1,0,0,1
13643,14432,270594,272184,1,0,0,1
7604,8059,182350,103612,1,0,0,1
23866,22517,30234,111359,1,0,0,1
3753,4993,62322,85019,1,0,0,1
7310,8130,188167,198103,1,0,0,1
17095,17231,199650,589017,0,0,0,1
16772,18539,293058,119166,1,0,0,0
4414,5002,56917,122014,1,0,0,1
6683,7356,113208,146424,1,0,0,0
8282,7706,674841,442288,1,0,0,1
10069,11063,172162,166465,1,0,0,1
8851,8689,123834,201249,1,0,0,1
20821,22966,468133,444503,1,0,0,1
4165,5003,86201,149973,1,0,0,1
19381,19523,88214,117278,0,0,0,1
53145,32390,219053,229992,1,0,0,1
2596,3945,8559,5614,1,1,0,1
37391,41142,411825,1175967,1,0,0,1
8639,9528,137334,202577,1,0,0,1
9191,8618,171590,143690,1,0,0,0
5015,5375,105017,80925,1,0,0,1
37566,38141,65836,178089,1,0,0,1
19850,20084,64248,151150,1,0,0,1
30029,32491,446191,683162,1,0,0,1
15149,16490,46479,71598,1,0,0,1
12009,13203,183959,312346,1,0,0,1
9477,9880,57156,60252,1,0,0,1
5237,5657,18623,38835,1,0,0,0
7799,8471,167963,127863,1,0,0,0
4786,5326,49060,72757,1,0,0,0
23940,25611,187641,179725,1,0,0,1
59569,59224,47488,312524,1,0,0,1
13013,14234,9935,95377,0,0,0,1
17050,17295,9362,79504,1,0,0,1
80982,88398,63105,199723,1,0,0,1
5740,6208,124710,200928,0,0,0,0
12705,12339,119353,154269,0,0,0,0
6482,5763,115066,119274,1,0,0,1
22621,18233,245253,147282,1,0,0,1
9536,10203,225377,220896,0,0,0,0
3708,4955,13366,86491,1,1,0,1
54444,54927,87549,212218,1,0,0,1
15850,16893,46435,161442,0,0,0,0
82245,78934,189438,272888,0,0,0,1
11005,11496,137295,146046,1,0,0,0
40969,41051,41933,99707,1,0,0,1
4574,5061,17974,48517,1,0,0,0
3713,4156,90517,117590,1,1,0,0
11329,10657,129163,315318,0,0,0,1
8787,9742,103793,84713,1,0,0,0
19567,12856,59308,97875,0,0,0,1
12120,13216,151888,186185,1,0,0,0
5602,6154,294693,158567,1,0,0,0
7691,8455,89413,153937,0,0,0,0
6187,6701,125361,82842,1,0,0,1
60851,61252,163694,192312,1,0,0,1
16858,17132,47721,94526,1,0,0,1
26085,28289,44741,76808,1,0,0,1
45265,44550,151832,97771,1,0,0,1
40268,39066,36927,224431,1,0,0,1
12093,13231,38888,29150,1,0,0,1
14735,16210,141138,175501,1,0,0,1
17035,16751,25518,68894,0,0,0,1
9323,8119,347433,277085,1,0,0,1
39394,43494,513893,288335,1,0,0,1
3343,4974,187985,285885,1,0,0,1
6391,6120,120908,123602,1,0,0,0
15368,15367,41796,121255,1,0,0,1
15344,16878,31478,223580,1,0,0,0
8116,8709,129557,224380,1,0,0,1
15290,16852,28093,217914,1,0,0,1
32509,15997,23982,111122,1,0,0,0
5643,5157,118860,107242,1,0,0,1
55425,53055,107554,129741,0,0,0,1
7779,8580,104321,278733,1,0,0,0
52935,47591,76931,216051,1,0,0,1
8202,8236,32774,168156,1,0,0,0
41064,44275,440261,400556,1,0,0,1
74768,76904,224979,274086,0,0,0,1
2143,1349,178297,202730,1,1,0,0
17201,18917,364468,188380,0,0,0,1
4613,5048,64755,69621,1,0,0,1
18724,18688,740,217144,1,0,0,1
9640,10589,81526,91436,0,0,0,1
1404,1423,57016,74126,1,1,0,0
24771,25289,59783,106998,1,0,0,1
18401,13832,81237,85805,1,0,0,1
13077,12869,987,58336,0,0,0,1
25356,26203,56644,111146,1,0,0,1
24083,21527,106368,121265,1,0,0,1
9489,9912,21466,84979,1,0,0,0
98678,62016,86602,169158,0,0,0,0
25630,28297,251402,212133,1,0,0,1
104902,101056,9386,316711,1,0,0,1
56192,55724,75500,292478,0,0,0,1
9828,10180,117022,124190,1,0,0,0
54215,45520,71857,168485,1,0,0,1
36001,35475,19557,105241,1,0,0,1
2450,1951,388108,284759,1,1,0,0
58665,56842,107359,152690,0,0,0,1
5253,5776,201958,215810,1,0,0,1
25019,17979,195431,152474,1,0,0,1
9882,7576,220479,155274,1,0,0,0
32053,34788,231305,965847,1,0,0,1
2007,4022,63633,160607,1,1,0,1
71765,72222,119374,122592,0,0,0,1
11935,13218,100373,295167,1,0,0,0
11244,12473,11716,250904,1,0,0,1
124849,100000,81314,159396,0,0,0,1
3799,4959,117288,141347,0,1,0,1
6902,6525,228162,228026,0,0,0,1
63929,33500,150573,233841,1,0,0,1
86611,49197,70973,316558,0,0,0,1
10222,10068,170890,170048,1,0,0,1
4201,4924,87891,69003,1,0,0,1
17787,19518,108887,181337,1,0,0,1
32848,27066,87639,217736,1,0,0,1
9744,10717,282788,151009,1,0,0,1
1715,3436,163480,148754,1,1,0,1
2093,3473,174404,211189,1,1,0,1
5173,5732,234348,221093,1,0,0,1
4096,4862,42974,88632,1,1,0,0
67778,65718,37627,68923,1,0,0,1
7128,7838,286515,140321,1,0,0,0
18495,19211,223664,239313,1,0,0,1
7166,7370,42650,41109,0,0,0,1
7956,8665,94188,312373,1,0,0,1
30167,33053,180807,293546,1,0,0,1
33399,23701,104199,120575,0,0,0,0
22662,21579,102226,112925,0,0,0,1
39654,23031,36616,84067,1,0,0,1
27277,27403,16425,118387,1,0,0,1
5346,5890,17042,231100,1,0,0,0
41702,45439,30619,122578,1,0,0,1
62302,61344,162370,166571,1,0,0,1
17233,16145,173917,231119,1,0,0,1
27873,27940,56950,197263,0,0,0,1
59900,54927,58473,150563,1,0,0,1
112652,108949,273047,322200,1,0,0,1
10274,10338,127781,136881,1,0,0,0
13663,14124,68869,76169,1,0,0,1
19066,19868,13539,53857,1,0,0,1
16917,18615,20955,52172,1,0,0,1
9450,9627,36621,54902,1,0,0,1
56340,55721,26524,169186,1,0,0,1
31464,17408,106455,192003,1,0,0,1
24472,20839,45175,87158,1,0,0,1
37265,39498,7611,98224,1,0,0,1
21071,21174,28090,212692,1,0,0,1
10288,11298,87197,160115,1,0,0,1
17626,18924,15170,128626,0,0,0,0
6553,6672,92256,110324,0,0,0,0
6226,6423,104409,151891,1,0,0,0
10239,10357,8022,56373,1,0,0,1
17052,17076,78040,703656,0,0,0,1
8561,9305,122762,111972,1,0,0,0
2686,2645,241145,310613,1,1,0,1
11076,11569,59544,98873,1,0,0,1
13643,14432,270594,272184,1,0,0,1
7604,8059,182350,103612,1,0,0,1
23866,22517,30234,111359,1,0,0,1
3753,4993,62322,85019,1,0,0,1
7310,8130,188167,198103,1,0,0,1
17095,17231,199650,589024,0,0,0,1
16772,18539,293058,119166,1,0,0,0
4414,5002,56917,122014,1,0,0,0
6683,7356,113208,146424,1,0,0,0
8282,7706,674841,442288,1,0,0,1
10069,11063,172162,166465,1,0,0,1
8851,8689,123834,201249,1,0,0,1
20821,22966,468133,444503,1,0,0,1
4165,5003,86201,149973,1,0,0,1
19382,19523,88214,117278,0,0,0,1
53145,32390,219053,229992,1,0,0,1
2596,3945,8559,5614,1,1,0,1
37391,41142,411825,1175967,1,0,0,1
8639,9528,137334,202577,1,0,0,1
9191,8618,171590,143690,1,0,0,0
5015,5375,105017,80925,1,0,0,1
37566,38141,65836,178089,1,0,0,1
19850,20084,64248,151150,1,0,0,1
30025,32491,446189,683162,1,0,0,1
15149,16490,46479,71598,1,0,0,1
12009,13203,183959,312346,1,0,0,1
9477,9880,57156,60252,1,0,0,1
5237,5657,18623,38835,1,0,0,0
7799,8471,167963,127863,1,0,0,0
4786,5326,49060,72757,1,0,0,0
23940,25611,187641,179725,1,0,0,1
59569,59224,47488,312524,1,0,0,1
13013,14234,9935,95377,0,0,0,1
17050,17295,9362,79504,1,0,0,1
80982,88398,63105,199723,1,0,0,1
5740,6208,124710,200928,0,0,0,0
12705,12339,119353,154269,0,0,0,0
6482,5763,115066,119274,1,0,0,1
22621,18233,245253,147282,1,0,0,1
9536,10203,225377,220896,0,0,0,0
3708,4955,13366,86491,1,1,0,1
54444,54927,87549,212218,1,0,0,1
15850,16893,46435,161442,0,0,0,0
82245,78934,189438,272888,0,0,0,1
11005,11496,137294,146046,1,0,0,0
40969,41051,41933,99707,1,0,0,1
4574,5061,17974,48517,1,0,0,0
3713,4156,90517,117590,1,1,0,0
11329,10657,129163,315318,0,0,0,1
8787,9742,103793,84713,1,0,0,0
19568,12856,59308,97875,0,0,0,1
12120,13216,151888,186185,1,0,0,0
5602,6154,294693,158567,1,0,0,0
7691,8455,89413,153937,0,0,0,0
6187,6701,125361,82842,1,0,0,1
60851,61252,163694,192312,1,0,0,1
16858,17132,47721,94526,1,0,0,1
26085,28289,44741,76808,1,0,0,1
45265,44550,151832,97771,1,0,0,1
40268,39066,36932,224434,1,0,0,1
12094,13231,38888,29150,1,0,0,1
14735,16210,141138,175501,1,0,0,1
17035,16751,25518,68894,0,0,0,1
9323,8119,347433,277085,1,0,0,1
39394,43494,513893,288335,1,0,0,1
3343,4974,187985,285885,1,0,0,1
2601,5002,130935,68753,1,0,0,1
2210,1969,36190,48030,1,0,0,0
4318,4551,101574,147444,0,0,0,0
4139,4108,65476,90430,1,0,0,0
1584,2544,2567,2807,1,0,0,1
1975,4991,12174,48096,1,1,0,1
3298,1984,169608,231639,1,0,0,1
2643,3487,64350,80454,1,0,0,1
6609,4505,12845,6802,1,0,0,1
2748,2497,10980,63134,1,0,0,1
4716,5162,18600,20655,1,0,0,1
2022,2517,13128,12267,1,0,0,1
3979,4046,2351,4533,1,0,0,1
3511,4989,154999,165872,1,0,0,0
730,1164,35170,51783,1,0,0,1
3589,3436,60903,52713,1,0,0,1
3162,3262,98242,125105,0,0,0,0
3215,3436,130888,149288,1,0,0,1
3636,4975,12254,8353,1,0,0,1
2752,1868,91,136563,1,0,0,0
1009,1633,30060,12202,1,0,0,1
2509,3135,150005,146231,0,0,0,1
3384,4690,106085,92606,1,0,0,1
344,795,20377,4917,1,1,0,1
1764,1976,75670,85286,1,0,0,0
4186,4302,317643,350984,1,0,0,0
3780,4346,29258,21567,1,0,0,0
4586,4924,41757,94307,1,0,0,1
6943,4430,401277,175919,1,0,0,1
3915,4983,111995,153094,0,0,0,0
2228,2776,59826,58890,1,0,0,1
1281,1704,92976,76451,1,0,0,1
1746,2512,153721,192402,1,0,0,0
1719,2629,5332,9707,1,0,0,0
2008,1616,2228,180987,1,0,0,1
7622,4150,204903,176696,1,0,0,1
3008,3321,64186,215479,1,0,0,1
3783,4794,28516,38774,1,0,0,1
2898,2447,378022,265401,1,0,0,1
5923,4618,219444,222082,1,0,0,1
3732,4155,117351,125988,1,0,0,0
4369,4378,18816,17314,1,0,0,1
2155,2052,73850,86745,1,0,0,1
2247,4959,112844,100684,1,1,0,1
1160,1853,72367,35962,1,0,0,0
4379,4897,70380,208350,1,0,0,1
1276,1589,35831,19381,1,0,0,0
4081,4986,3563,3630,1,0,0,1
3903,4972,10782,12403,1,0,0,1
2953,2974,83134,96430,1,0,0,1
2007,4988,100158,108098,0,0,0,0
204,373,5342,3269,0,0,0,1
43154,42362,16225,75107,0,0,0,0
1705,3123,343,4136,0,0,0,0
1984,2085,14486,5577,1,0,0,0
549,585,47175,115108,1,0,0,0
5303,5766,19600,6227,0,0,0,1
1260,1520,42158,36721,0,0,0,0
1253,83,267857,190577,1,0,0,0
31391,31771,166696,173569,0,0,0,1
1113,2438,3680,15275,1,0,0,1
50,175,3542,2001,1,0,0,0
1133,1462,42750,26728,0,0,0,0
62,153,2806,1713,1,0,0,0
3925,4038,37110,37435,0,0,0,1
5024,1505,172022,186189,0,0,0,0
862,119,117434,132278,1,0,0,0
46743,45716,43484,169530,1,0,0,1
3127,4993,14170,75276,0,0,0,0
5,29,482,1291,1,1,0,0
3899,4393,89972,72476,0,0,0,1
